Company Name for Emails,Company name ,# Employees,Employee range,Industry,Website,Company Linkedin Url,Company State,Company Country
Sutherland,Sutherland,52000,10000+,information technology & services,http://www.sutherlandglobal.com,http://www.linkedin.com/company/sutherland-global,New York,United States
PandaDoc,PandaDoc,780,501-10000,information technology & services,http://www.pandadoc.com,http://www.linkedin.com/company/pandadoc,California,United States
6sense,6sense,1500,501-10000,information technology & services,http://www.6sense.com,http://www.linkedin.com/company/6sense,California,United States
Chili Piper,Chili Piper,260,51-500,information technology & services,http://www.chilipiper.com,http://www.linkedin.com/company/chilipiper,New York,United States
Egnyte,Egnyte,1200,501-10000,information technology & services,http://www.egnyte.com,http://www.linkedin.com/company/egnyte,California,United States
Lacework,Lacework,730,501-10000,computer & network security,http://www.lacework.com,http://www.linkedin.com/company/lacework,California,United States
Recorded Future,Recorded Future,1100,501-10000,computer & network security,http://www.recordedfuture.com,http://www.linkedin.com/company/recorded-future,Massachusetts,United States
iZotope,iZotope,66,51-500,information technology & services,http://www.izotope.com,http://www.linkedin.com/company/izotope-inc,Massachusetts,United States
Totango,Totango,130,51-500,information technology & services,http://www.totango.com,http://www.linkedin.com/company/totango,California,United States
Snorkel AI,Snorkel AI,160,51-500,information technology & services,http://www.snorkel.ai,http://www.linkedin.com/company/snorkel-ai,California,United States
onXmaps,onXmaps,420,51-500,information technology & services,http://www.onxmaps.com,http://www.linkedin.com/company/onxmaps,Montana,United States
Digital.ai,Digital.ai,960,501-10000,information technology & services,http://www.digital.ai,http://www.linkedin.com/company/digitaldotai,North Carolina,United States
Gradle,Gradle,180,51-500,information technology & services,http://www.gradle.com,http://www.linkedin.com/company/gradle,California,United States
Dashlane,Dashlane,350,51-500,computer & network security,http://www.dashlane.com,http://www.linkedin.com/company/dashlane,New York,United States
Measurabl,Measurabl,220,51-500,information technology & services,http://www.measurabl.com,http://www.linkedin.com/company/measurabl,California,United States
Anaqua,Anaqua,600,501-10000,information technology & services,http://www.anaqua.com,http://www.linkedin.com/company/anaqua,Massachusetts,United States
Anodot,Anodot,79,51-500,information technology & services,http://www.anodot.com,http://www.linkedin.com/company/anodot,Virginia,United States
Belong,Belong,160,51-500,internet,http://www.belonghome.com,http://www.linkedin.com/company/belonghq,Florida,United States
ujet.cx,ujet.cx,260,51-500,information technology & services,http://www.ujet.cx,http://www.linkedin.com/company/ujetcx,California,United States
Fullpath,Fullpath,200,51-500,information technology & services,http://www.fullpath.com,http://www.linkedin.com/company/fullpathcdxp,Florida,United States
Propel,Propel,110,51-500,information technology & services,http://www.joinpropel.com,http://www.linkedin.com/company/propel-inc,New York,United States
GridGain,GridGain,140,51-500,information technology & services,http://www.gridgain.com,http://www.linkedin.com/company/gridgain-systems,California,United States
Protenus,Protenus,110,51-500,information technology & services,http://www.protenus.com,http://www.linkedin.com/company/protenus,Maryland,United States
Kipsu,Kipsu,110,51-500,information technology & services,http://www.kipsu.com,http://www.linkedin.com/company/kipsu,Minnesota,United States
AssemblyAI,AssemblyAI,120,51-500,information technology & services,http://www.assemblyai.com,http://www.linkedin.com/company/assemblyai,California,United States
SundaySky,SundaySky,140,51-500,information technology & services,http://www.sundaysky.com,http://www.linkedin.com/company/sundaysky,New York,United States
Notion,Notion,3900,501-10000,information technology & services,http://www.notion.so,http://www.linkedin.com/company/notionhq,California,United States
Talkdesk,Talkdesk,1400,501-10000,information technology & services,http://www.talkdesk.com,http://www.linkedin.com/company/talkdesk,California,United States
Eightfold,Eightfold,760,501-10000,information technology & services,http://www.eightfold.ai,http://www.linkedin.com/company/eightfoldai,California,United States
ActiveCampaign,ActiveCampaign,850,501-10000,information technology & services,http://www.activecampaign.com,http://www.linkedin.com/company/activecampaign,Illinois,United States
Sisense,Sisense,610,501-10000,information technology & services,http://www.sisense.com,http://www.linkedin.com/company/sisense,New York,United States
Benchling,Benchling,960,501-10000,information technology & services,http://www.benchling.com,http://www.linkedin.com/company/benchling,California,United States
Checkr,Checkr,1400,501-10000,information technology & services,http://www.checkr.com,http://www.linkedin.com/company/checkr-com,California,United States
Jungle Scout,Jungle Scout,220,51-500,information technology & services,http://www.junglescout.com,http://www.linkedin.com/company/junglescout,Texas,United States
Arcadia,Arcadia,750,501-10000,information technology & services,http://www.arcadia.com,http://www.linkedin.com/company/arcadiahq,Colorado,United States
CircleCI,CircleCI,350,51-500,information technology & services,http://www.circleci.com,http://www.linkedin.com/company/circleci,California,United States
ChurnZero,ChurnZero,150,51-500,information technology & services,http://www.churnzero.com,http://www.linkedin.com/company/churnzero,District of Columbia,United States
Exiger,Exiger,830,501-10000,information technology & services,http://www.exiger.com,http://www.linkedin.com/company/exiger,New York,United States
Conversica,Conversica,170,51-500,information technology & services,http://www.conversica.com,http://www.linkedin.com/company/conversica,California,United States
Kontakt.io,Kontakt.io,140,51-500,information technology & services,http://www.kontakt.io,http://www.linkedin.com/company/kontakt-io,New York,United States
